t,N,sigma
0.0000,493.52,15.00
3.3333,424.05,15.00
6.6667,400.62,15.00
10.0000,352.15,15.00
13.3333,335.29,15.00
16.6667,283.49,15.00
20.0000,235.84,15.00
23.3333,197.01,15.00
26.6667,205.82,15.00
30.0000,170.20,15.00
33.3333,154.59,15.00
36.6667,129.43,15.00
40.0000,93.30,15.00
43.3333,123.34,15.00
46.6667,104.88,15.00
50.0000,90.22,15.00
53.3333,87.28,15.00
56.6667,50.12,15.00
60.0000,90.76,15.00
63.3333,49.71,15.00
66.6667,53.88,15.00
70.0000,54.34,15.00
73.3333,2.48,15.00
76.6667,59.30,15.00
80.0000,31.25,15.00
