t,V
0.000000,4.150377
0.010000,5.582316
0.020000,7.554784
0.030000,6.039381
0.040000,4.897438
0.050000,4.474510
0.060000,3.285090
0.070000,1.058848
0.080000,-0.723763
0.090000,-1.494066
0.100000,-3.030346
0.110000,-4.395935
0.120000,-4.910298
0.130000,-4.851043
0.140000,-4.848893
0.150000,-4.142312
0.160000,-3.523221
0.170000,-2.392200
0.180000,-3.430103
0.190000,-2.301504
0.200000,-2.033119
0.210000,-3.476422
0.220000,-3.083521
0.230000,-2.989567
0.240000,-2.827663
0.250000,-2.239136
0.260000,-1.372613
0.270000,-0.540251
0.280000,2.468829
0.290000,2.161236
0.300000,5.475512
0.310000,6.734194
0.320000,6.322502
0.330000,7.131105
0.340000,6.687202
0.350000,5.731418
0.360000,3.908610
0.370000,2.956069
0.380000,1.599707
0.390000,0.020741
0.400000,-0.620306
0.410000,-0.506625
0.420000,-1.320306
0.430000,-0.892548
0.440000,-1.118033
0.450000,-1.438016
0.460000,-1.622971
0.470000,-2.113888
0.480000,-3.071677
0.490000,-3.968255
0.500000,-4.653908
0.510000,-5.844948
0.520000,-6.082275
0.530000,-6.253206
0.540000,-5.401584
0.550000,-4.612859
0.560000,-2.731012
0.570000,-0.810220
0.580000,-0.270841
0.590000,2.787866
0.600000,4.043570
0.610000,4.007398
0.620000,6.077484
0.630000,5.044695
0.640000,4.897905
0.650000,4.992337
0.660000,3.280300
0.670000,2.579417
0.680000,2.685771
0.690000,2.861372
0.700000,3.068778
0.710000,3.402780
0.720000,4.028648
0.730000,2.729578
0.740000,2.142091
0.750000,2.160068
0.760000,0.861670
0.770000,-0.600361
0.780000,-2.862948
0.790000,-3.459974
0.800000,-4.891952
0.810000,-6.418160
0.820000,-5.479091
0.830000,-7.441713
0.840000,-5.817789
0.850000,-5.661349
0.860000,-4.558057
0.870000,-3.365552
0.880000,-0.981665
0.890000,-0.727507
0.900000,0.115784
0.910000,0.630237
0.920000,1.265532
0.930000,1.708062
0.940000,1.344993
0.950000,1.965510
0.960000,2.375728
0.970000,2.091945
0.980000,3.295005
0.990000,4.532002
1.000000,5.401803
1.010000,5.853964
1.020000,7.010095
1.030000,6.079581
1.040000,5.541678
1.050000,4.779301
1.060000,3.053289
1.070000,0.913268
1.080000,0.168750
1.090000,-2.019399
1.100000,-2.910701
1.110000,-3.745228
1.120000,-5.426142
1.130000,-4.586983
1.140000,-4.812250
1.150000,-3.944930
1.160000,-3.217166
1.170000,-3.423036
1.180000,-3.267659
1.190000,-2.704046
1.200000,-2.959600
1.210000,-3.238166
1.220000,-2.945494
1.230000,-3.126786
1.240000,-2.441379
1.250000,-1.616522
1.260000,-1.149229
1.270000,0.369146
